id,x,y,gender
adm,-0.5094559750844607,-0.8266755262739505,male
ast,-0.9946987382815958,-0.9947948003191266,female
cas,-0.18682294559195806,-0.9986262805857576,male
cha,-0.22606526400860794,-0.7670033766429686,female
con,-0.773858392042339,-0.7738676298182853,male
dav,-0.27410022489502117,-0.6816405439315294,male
jea,-0.5681624892979507,-0.8571328916246456,female
jer,-0.9935668404824731,-0.9935615001491381,male
joe,-0.0066255885910233014,0.005940998050833535,male
meg,-0.11127804048272005,-0.9251189251790456,female
mia,0.24357116801183842,-0.9750559364591234,female
mon,0.3671875085457242,-0.9545227081988943,female
ril,-0.0660633951898224,-0.9985672659329738,female
sus,0.1378453408577202,-0.6573216680222815,female
ace,0.8852511987687761,-0.9975100558087415,female w/o transcripts
all,0.16137509685352142,-0.9978010605466237,female w/o transcripts
fra,0.3757595075477178,-0.998345816762027,female w/o transcripts
jeb,-0.9965388255717682,-0.9965348267734473,male w/o transcripts
jes,-0.4849603446785777,-0.6147609218177406,female w/o transcripts
sho,-0.18772609559855796,-0.8949957314783222,female w/o transcripts
apr,-0.2725864678894602,-0.9992165829849413,female w/o transcripts
bra,-0.5297302308677886,-0.9175016092643481,male w/o transcripts
brt,0.4528531668677278,-0.03011361032204779,female w/o transcripts
dev,-0.21873440467717398,-0.9789874834355601,male w/o transcripts
emi,-0.6023653340752855,-0.9726065565337273,female w/o transcripts
geo,-0.8218054192818187,-0.9253569677593877,male w/o transcripts
mit,-0.423346684522182,-0.9833212659873598,male w/o transcripts
ter,-0.9821407130357093,-0.9820582926997755,female w/o transcripts
bri,0.16813450140514574,-0.29838560472038955,male w/o transcripts
don,0.21357400853497716,-0.9977995192608689,male w/o transcripts
eth,-0.6941417187867087,-0.9994000496299853,male w/o transcripts
gre,-0.005164003445385701,-0.5493296379939876,male w/o transcripts
jac,-0.09748157323409251,-0.9846044690685547,male w/o transcripts
kar,0.3388923941076093,-0.8701913425561439,female w/o transcripts
pet,0.23922646531018393,-0.968943908066098,male w/o transcripts
rem,-0.5214759334987624,-0.9894562022070484,male w/o transcripts
aim,-0.14278711533279254,-0.9985570186858215,female w/o transcripts
ali,0.06967195033390067,-0.9985625022421194,female w/o transcripts
cla,0.2657041479745301,-0.9794978721132943,female w/o transcripts
dia,0.13608922031693793,0.12170393917741018,female w/o transcripts
gil,-0.44316085761101864,-0.9205669708530928,male w/o transcripts
jus,-0.09815083540460484,-0.9580056514413744,male w/o transcripts
kev,-0.14381071304277732,-0.3170170154481196,male w/o transcripts
rau,-0.38269995111500577,-0.9578796566075196,male w/o transcripts
sar,-0.5114211299808822,-0.9923943336711708,female w/o transcripts
shl,-0.10599530764235804,-0.9886243700901485,female w/o transcripts
stn,-0.4006387335042884,-0.9991473065757843,male w/o transcripts
tru,-0.19006233344079193,-0.9536030812277724,male w/o transcripts
ctr,0.25961347872160057,-0.9979553464306834,male w/o transcripts
dea,-0.4012368944649629,-0.9989951160064726,male w/o transcripts
guy,0.43013350949843576,-0.7742185070571723,male w/o transcripts
jas,0.3904792914469282,-0.9463446346530753,male w/o transcripts
may,-0.07721165056722956,-0.9675584085026601,female w/o transcripts
mrk,-0.32575468897737275,-0.9990502836069654,male w/o transcripts
pau,-0.34874345636663084,-0.9337025486080308,male w/o transcripts
tre,-0.9772504532288883,-0.9773851819158309,male w/o transcripts
ann,0.9978421000938138,0.3009591592463093,female w/o transcripts
arl,-0.5496633231922782,-0.9840744436096901,male w/o transcripts
cat,-0.15379236838799337,-0.9986479379055413,female w/o transcripts
jam,0.2811536629463417,-0.9973779967846337,male w/o transcripts
joy,-0.09058335630966818,-0.9368547645271892,female w/o transcripts
kur,-0.04581562081672397,-0.823251314784681,male w/o transcripts
mel,-0.12725163820224744,-0.5611725257739113,female w/o transcripts
roc,0.9719221577568649,0.17730493089698326,female w/o transcripts
ros,0.012089912364284305,0.01209366049650712,female w/o transcripts
sop,0.7685737055415056,-0.9950970236621246,female w/o transcripts
tam,-0.6285957709599902,-0.7183939777911145,female w/o transcripts
tod,-0.4214593440955151,-0.9284277731227515,male w/o transcripts
tri,-0.5143396283892365,-0.5384848712359318,female w/o transcripts
vic,0.0590890817917748,0.05908761416802849,female w/o transcripts
