id,x,y,gender
40B,-0.9983660810955913,-0.9983735958340373,male
43B,-0.9792058822804398,-0.9792190527131235,male
57B,-0.9974039650666885,-0.9974505833050546,male
amy,-0.3575910784117681,-0.9877927807538109,female
betty,-0.21120788928978845,-0.9783325464482553,female
chuck,-0.23646952519045372,-0.34111125663944,male
doug,-0.022773680429311494,-0.4710656699259754,male
ed,-0.26024720246986793,-0.9878909568461176,male
frank,0.37041927981719774,-0.6504524227660611,male
gloria,-0.08234141275856682,-0.3153343002630107,female
hank,-0.5259455689738326,-0.9484350201391873,male
ivy,-0.09823656820907081,0.11065217721640686,female
keith,0.4036016901490034,-0.46993101181943503,male
kent,-0.27706533171730796,-0.27716414226133956,male
linda,-0.640099396960855,-0.9262695722602394,female
mandy,0.10782075246440831,-0.7878390869357188,female
nan,-0.26039439786890123,-0.991924360593231,female
olivia,0.029550107208880072,-0.5932545634388245,female
paula,-0.6511115744126076,-0.821923810419345,female
pete,0.03111557097715517,-0.06952502993950388,male
ruth,-0.18709951801010682,-0.9883346206016268,female
steve,0.5192010622860547,-0.7313002891249452,male
sue,-0.12044961967632783,-0.9846813142403672,female
zeke,-0.09775328465262101,-0.38735803406187197,male
45G,-0.9965424294507095,-0.9965550381870019,female w/o transcripts
01G,-0.9962516282497359,-0.9962817830448689,female w/o transcripts
09G,-0.9975403053245333,-0.9975739543958939,female w/o transcripts
10G,-0.9924919421853982,-0.9925158111120662,female w/o transcripts
12G,-0.6655726467537421,-0.8905890132280003,female w/o transcripts
18B,-0.9969720145084139,-0.9969273815142389,male w/o transcripts
21B,-0.9970489410495669,-0.9970488840344506,male w/o transcripts
22B,-0.9956021256370504,-0.9955988883081707,male w/o transcripts
25G,-0.997361884545485,-0.9974469027939241,female w/o transcripts
26B,-0.9976226645393218,-0.9976316467953952,male w/o transcripts
28G,-0.9960410237631516,-0.983658461151388,female w/o transcripts
30B,-0.9975632135765847,-0.9975836425397252,male w/o transcripts
35G,-0.9967631635013157,-0.9744355996317281,female w/o transcripts
41G,-0.9981046213039457,-0.9981028537145819,female w/o transcripts
44B,-0.9980376274741289,-0.9915520765930356,male w/o transcripts
46G,-0.9981232780521753,-0.9981524639421797,female w/o transcripts
47B,-0.9968462962815405,-0.9969079023691128,male w/o transcripts
48B,-0.9941437828150466,-0.9940264945966437,male w/o transcripts
54B,-0.9975363014808084,-0.9975726057995984,male w/o transcripts
55G,-0.9982273159446046,-0.998233725488464,female w/o transcripts
58G,-0.9970696566658563,-0.9966848180472184,female w/o transcripts
59B,-0.9960074103397313,-0.9960444979578796,male w/o transcripts
60G,-0.9971157302174295,-0.997122989033709,female w/o transcripts
61B,-0.9970926386245522,-0.9892182876773091,male w/o transcripts
06B,-0.994785835083153,-0.9947863272657478,male w/o transcripts
19G,-0.9970307139056066,-0.9970181391076024,female w/o transcripts
39B,-0.9981349608240835,-0.9981079751384273,male w/o transcripts
11B,-0.9983943959108362,-0.9983623745130951,male w/o transcripts
