id,x,y,gender
01G,-0.9946045709467283,-0.994614949744749,female
06B,-0.9972892170767255,-0.9973079389430963,male
10G,-0.9953268091220782,-0.9953580540722592,female
11B,-0.8069652866833278,-0.9978846170393865,male
12G,-0.9645596415908921,-0.9645384040210164,female
21B,-0.9966209597163842,-0.996646091773063,male
22B,-0.9974979420620395,-0.9904366293312298,male
25G,-0.9985116233531055,-0.9737114340707513,female
26B,-0.9974693057531944,-0.9724155605293809,male
28G,-0.9954962860633906,-0.9953823284107065,female
30B,-0.9979834625962657,-0.9980100040280867,male
35G,-0.8795388978195616,-0.9976740766911761,female
39B,-0.9981798985653966,-0.947648399377167,male
40B,-0.998205799788349,-0.9981763330639796,male
43B,-0.630911682455798,-0.9965313716736991,male
44B,-0.9982439013949161,-0.9982308954038035,male
45G,-0.9972331504814228,-0.9972243984212872,female
48B,-0.9965828775002517,-0.9966362635576995,male
54B,-0.9790498846081509,-0.8408033029497812,male
55G,-0.9981856275195261,-0.9981603356008085,female
58G,-0.9940781938778483,-0.9942209085686021,female
59B,-0.9965559994313704,-0.9965695826481031,male
60G,-0.9969754256485759,-0.9970177628819724,female
61B,-0.997019077840746,-0.9970605607986757,male
amy,-0.3575910784117681,-0.9877927807538109,female w/o transcripts
betty,-0.21120788928978845,-0.9783325464482553,female w/o transcripts
chuck,-0.23646952519045372,-0.34111125663944,male w/o transcripts
doug,-0.022773680429311494,-0.4710656699259754,male w/o transcripts
ed,-0.26024720246986793,-0.9878909568461176,male w/o transcripts
frank,0.37041927981719774,-0.6504524227660611,male w/o transcripts
hank,-0.5259455689738326,-0.9484350201391873,male w/o transcripts
ivy,-0.09823656820907081,0.11065217721640686,female w/o transcripts
keith,0.4036016901490034,-0.46993101181943503,male w/o transcripts
kent,-0.27706533171730796,-0.27716414226133956,male w/o transcripts
linda,-0.640099396960855,-0.9262695722602394,female w/o transcripts
mandy,0.10782075246440831,-0.7878390869357188,female w/o transcripts
nan,-0.26039439786890123,-0.991924360593231,female w/o transcripts
olivia,0.029550107208880072,-0.5932545634388245,female w/o transcripts
paula,-0.6511115744126076,-0.821923810419345,female w/o transcripts
pete,0.03111557097715517,-0.06952502993950388,male w/o transcripts
ruth,-0.18709951801010682,-0.9883346206016268,female w/o transcripts
steve,0.5192010622860547,-0.7313002891249452,male w/o transcripts
sue,-0.12044961967632783,-0.9846813142403672,female w/o transcripts
zeke,-0.09775328465262101,-0.38735803406187197,male w/o transcripts
09G,-0.9975403053245333,-0.9975739543958939,female w/o transcripts
18B,-0.9969720145084139,-0.9969273815142389,male w/o transcripts
41G,-0.9981046213039457,-0.9981028537145819,female w/o transcripts
46G,-0.9981232780521753,-0.9981524639421797,female w/o transcripts
47B,-0.9968462962815405,-0.9969079023691128,male w/o transcripts
57B,-0.9974039650666885,-0.9974505833050546,male w/o transcripts
19G,-0.9970307139056066,-0.9970181391076024,female w/o transcripts
gloria,-0.08234141275856682,-0.3153343002630107,female w/o transcripts
