id,x,y,gender
01G,-0.992929376963532,-0.992854856588412,female
09G,-0.9905763970192597,-0.9906330400014065,female
10G,-0.8866224220909169,-0.8875928218135639,female
12G,-0.9694772832494508,-0.86494878762061,female
18B,-0.993416918786994,-0.9931978779260234,male
21B,-0.9914350753594937,-0.9914109965747802,male
22B,-0.9349266940681739,-0.9351878853566642,male
25G,-0.9964956354520983,-0.9964994412245821,female
26B,-0.9852749226801673,-0.9846548170086464,male
28G,-0.9939275561694003,-0.9939360988506398,female
30B,-0.9943041323014858,-0.9942617249064628,male
35G,-0.9960602239441236,-0.9858206200032291,female
40B,-0.9758363665029512,-0.975849846488627,male
41G,-0.985933667907953,-0.9858211825315208,female
43B,-0.9960317799448959,-0.8543843089749028,male
44B,-0.9849308963630444,-0.9850132105716985,male
45G,-0.9890601841871787,-0.9892563761052171,female
46G,-0.9948780308252564,-0.9949085036480562,female
47B,-0.9580091012622304,-0.9577887578211226,male
48B,-0.9902668965849819,-0.9902023035045743,male
54B,-0.982521199018094,-0.9826479238396487,male
55G,-0.9898162254016423,-0.9899114726823841,female
57B,-0.9698120961684547,-0.9698749701226003,male
58G,-0.9965557723923377,-0.9966143352129122,female
59B,-0.9939202661937341,-0.9938981552035036,male
60G,-0.9970192970913255,-0.9970011253990843,female
61B,-0.9966267269445687,-0.9966193079457283,male
amy,-0.8916632355433085,-0.9011813535816751,female w/o transcripts
betty,-0.869335137566432,-0.6446537565838804,female w/o transcripts
chuck,-0.9703637105786528,-0.9711503864595149,male w/o transcripts
doug,-0.7942375748360203,-0.796769993005097,male w/o transcripts
ed,-0.9375489478360365,-0.9365054947654636,male w/o transcripts
frank,-0.9482299072087317,-0.9485686132627362,male w/o transcripts
hank,-0.29400029875761186,-0.7960832592382031,male w/o transcripts
ivy,-0.7962462896779148,-0.7979072440006707,female w/o transcripts
keith,-0.970247649025494,-0.9709564746444578,male w/o transcripts
kent,-0.8823721444836035,0.1759498931419558,male w/o transcripts
linda,-0.3045493301652009,-0.3066028903759098,female w/o transcripts
mandy,-0.9455187270950723,-0.9461613030463336,female w/o transcripts
nan,-0.7345318887340221,-0.7344189632037068,female w/o transcripts
olivia,0.023279151590418268,0.02312116219802296,female w/o transcripts
paula,0.3063395041194579,-0.7910336946590485,female w/o transcripts
pete,0.4692616387208435,0.4724279150404511,male w/o transcripts
ruth,0.05294339607850468,0.05208477936279082,female w/o transcripts
steve,-0.96896590743563,-0.9685771717894636,male w/o transcripts
sue,0.9411546141067458,0.9388419195969412,female w/o transcripts
zeke,-0.48259849393556886,-0.49663193448003734,male w/o transcripts
