id,x,y,gender
01G,-0.9970118354759707,-0.9970794129720418,female
06B,-0.9985804259549423,-0.9985939771445154,male
09G,-0.812710501728779,-0.9983643749424608,female
11B,-0.1555407396812048,-0.46332816435967694,male
18B,-0.7948946044243064,-0.9940231883913201,male
19G,-0.8841801934008044,-0.8842148455470332,female
21B,-0.9694144438538121,-0.9694345203704084,male
22B,-0.9971436228854188,-0.9972112261236801,male
25G,-0.8484225452174536,-0.8484641141441368,female
30B,-0.32646782553311626,-0.9134295972776407,male
35G,-0.7374857706263745,-0.8242824673030431,female
40B,-0.9982818281704927,-0.9982878278609325,male
43B,-0.4592258021323643,-0.9653311290811204,male
45G,-0.9982214937104424,-0.9982506585966969,female
46G,-0.2443949764657069,-0.7510731271552161,female
47B,-0.9976979148737507,-0.9977082006867026,male
48B,-0.9952970448178304,-0.9823301232837877,male
54B,-0.4005464429145003,-0.998147472204181,male
55G,-0.6877559543033671,-0.9963985065870268,female
57B,-0.9656090661649319,-0.9981243708337006,male
58G,-0.8477378093639372,-0.8477467247465643,female
60G,-0.997298048506916,-0.9841959637659758,female
kimada,0.5867330515900665,-0.9868341003174691,female
amy,-0.3575910784117681,-0.9877927807538109,female w/o transcripts
betty,-0.21120788928978845,-0.9783325464482553,female w/o transcripts
chuck,-0.23646952519045372,-0.34111125663944,male w/o transcripts
doug,-0.022773680429311494,-0.4710656699259754,male w/o transcripts
ed,-0.26024720246986793,-0.9878909568461176,male w/o transcripts
frank,0.37041927981719774,-0.6504524227660611,male w/o transcripts
hank,-0.5259455689738326,-0.9484350201391873,male w/o transcripts
ivy,-0.09823656820907081,0.11065217721640686,female w/o transcripts
keith,0.4036016901490034,-0.46993101181943503,male w/o transcripts
kent,-0.27706533171730796,-0.27716414226133956,male w/o transcripts
linda,-0.640099396960855,-0.9262695722602394,female w/o transcripts
mandy,0.10782075246440831,-0.7878390869357188,female w/o transcripts
nan,-0.26039439786890123,-0.991924360593231,female w/o transcripts
olivia,0.029550107208880072,-0.5932545634388245,female w/o transcripts
paula,-0.6511115744126076,-0.821923810419345,female w/o transcripts
pete,0.03111557097715517,-0.06952502993950388,male w/o transcripts
ruth,-0.18709951801010682,-0.9883346206016268,female w/o transcripts
steve,0.5192010622860547,-0.7313002891249452,male w/o transcripts
sue,-0.12044961967632783,-0.9846813142403672,female w/o transcripts
zeke,-0.09775328465262101,-0.38735803406187197,male w/o transcripts
10G,-0.9978982154821333,-0.9979101983894849,female w/o transcripts
12G,-0.85897257963131,-0.9912500690801527,female w/o transcripts
26B,-0.8767895472753836,-0.9660688822908036,male w/o transcripts
28G,-0.9981801727932478,-0.998204399254683,female w/o transcripts
41G,-0.9984514756399356,-0.9912321879937835,female w/o transcripts
44B,-0.9982240490582424,-0.9982594339547316,male w/o transcripts
59B,-0.794230372230744,-0.9978146454178813,male w/o transcripts
61B,-0.997670334755507,-0.9976353920317823,male w/o transcripts
39B,-0.9982987712910263,-0.9983253214262142,male w/o transcripts
gloria,-0.08234141275856682,-0.3153343002630107,female w/o transcripts
ianava,0.49815150825288507,0.1099645870028873,male w/o transcripts
nanjim,0.6488661029546636,-0.9948887430347724,female w/o transcripts
samava,-0.09941930754019423,-0.787987916899026,male w/o transcripts
samian,0.7437534508864888,-0.7366172712937147,male w/o transcripts
