id,x,y,gender
01G,-0.9914011324940032,-0.9913766839650341,female
45G,-0.9890601841871787,-0.9892563761052171,female w/o transcripts
amy,-0.8916632355433085,-0.9011813535816751,female w/o transcripts
betty,-0.869335137566432,-0.6446537565838804,female w/o transcripts
chuck,-0.9703637105786528,-0.9711503864595149,male w/o transcripts
doug,-0.7942375748360203,-0.796769993005097,male w/o transcripts
ed,-0.9375489478360365,-0.9365054947654636,male w/o transcripts
frank,-0.9482299072087317,-0.9485686132627362,male w/o transcripts
hank,-0.29400029875761186,-0.7960832592382031,male w/o transcripts
ivy,-0.7962462896779148,-0.7979072440006707,female w/o transcripts
keith,-0.970247649025494,-0.9709564746444578,male w/o transcripts
kent,-0.8823721444836035,0.1759498931419558,male w/o transcripts
linda,-0.3045493301652009,-0.3066028903759098,female w/o transcripts
mandy,-0.9455187270950723,-0.9461613030463336,female w/o transcripts
nan,-0.7345318887340221,-0.7344189632037068,female w/o transcripts
olivia,0.023279151590418268,0.02312116219802296,female w/o transcripts
paula,0.3063395041194579,-0.7910336946590485,female w/o transcripts
pete,0.4692616387208435,0.4724279150404511,male w/o transcripts
ruth,0.05294339607850468,0.05208477936279082,female w/o transcripts
steve,-0.96896590743563,-0.9685771717894636,male w/o transcripts
sue,0.9411546141067458,0.9388419195969412,female w/o transcripts
zeke,-0.48259849393556886,-0.49663193448003734,male w/o transcripts
09G,-0.9905763970192597,-0.9906330400014065,female w/o transcripts
10G,-0.8866224220909169,-0.8875928218135639,female w/o transcripts
12G,-0.9694772832494508,-0.86494878762061,female w/o transcripts
18B,-0.993416918786994,-0.9931978779260234,male w/o transcripts
21B,-0.9914350753594937,-0.9914109965747802,male w/o transcripts
22B,-0.9349266940681739,-0.9351878853566642,male w/o transcripts
25G,-0.9964956354520983,-0.9964994412245821,female w/o transcripts
26B,-0.9852749226801673,-0.9846548170086464,male w/o transcripts
28G,-0.9939275561694003,-0.9939360988506398,female w/o transcripts
30B,-0.9943041323014858,-0.9942617249064628,male w/o transcripts
35G,-0.9960602239441236,-0.9858206200032291,female w/o transcripts
40B,-0.9758363665029512,-0.975849846488627,male w/o transcripts
41G,-0.985933667907953,-0.9858211825315208,female w/o transcripts
43B,-0.9916858163212008,-0.9917345901535521,male w/o transcripts
44B,-0.9849308963630444,-0.9850132105716985,male w/o transcripts
46G,-0.9970703042380753,-0.9969118021110387,female w/o transcripts
47B,-0.9580091012622304,-0.9577887578211226,male w/o transcripts
48B,-0.9902668965849819,-0.9902023035045743,male w/o transcripts
54B,-0.982521199018094,-0.9826479238396487,male w/o transcripts
55G,-0.9898162254016423,-0.9899114726823841,female w/o transcripts
57B,-0.9698120961684547,-0.9698749701226003,male w/o transcripts
58G,-0.9965557723923377,-0.9966143352129122,female w/o transcripts
59B,-0.9939202661937341,-0.9938981552035036,male w/o transcripts
60G,-0.9970192970913255,-0.9970011253990843,female w/o transcripts
61B,-0.9966267269445687,-0.9966193079457283,male w/o transcripts
06B,-0.9919766927366535,-0.9919749488069076,male w/o transcripts
19G,-0.9960909866893747,-0.9960385890108917,female w/o transcripts
39B,-0.9930568542391778,-0.9929508592841911,male w/o transcripts
gloria,-0.050313062483109516,0.05086790364000221,female w/o transcripts
