Animal Stories,Children's Tales,Hungry Caterpillar,Child Conversations
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.028817853060940396,0.15439222240988074,0.12782250823593408,0.6889674162932448
0.0350128059860081,0.15450370680934372,0.12029959294534573,0.6901838942593024
0.04088901413500813,0.1542943869019126,0.11438121739112521,0.6904353815719542
0.04729725691874223,0.1532799984679924,0.10950315135195156,0.6899195932613138
0.05290304947453529,0.1522975539346983,0.10586176016415053,0.6889376364266159
0.05800647750560931,0.15236734005369193,0.09919822105347881,0.69042796138722
0.05935459417377687,0.1550245701245899,0.09792407623106796,0.6876967594705653
0.06044058492366397,0.15213530299448524,0.10292200001829249,0.6845021120635583
0.05939203012042172,0.14394136055693876,0.1057648884031136,0.6909017209195258
0.05899956631822326,0.13688303963314583,0.10056436488122006,0.7035530291674109
0.05917851310847617,0.12548839503946227,0.1006013044819504,0.7147317873701112
0.05914380658378553,0.11602490021419384,0.106998132035732,0.7178331611662887
0.0585056605987217,0.10271252756484425,0.11000399514232781,0.7287778166941062
0.0589698037242414,0.09477337009284907,0.11593384910366321,0.7303229770792464
0.058726683152549766,0.0856105627648901,0.12140017040005396,0.7342625836825062
0.05859810747208569,0.07554560713736849,0.12636967361718185,0.739486611773364
0.059348601053831246,0.06785548639776308,0.13278621179918548,0.7400097007492202
0.05963249792254668,0.06140306338412957,0.13814163555379333,0.7408228031395303
0.059606110919309827,0.05637147606597985,0.14103059481176256,0.7429918182029478
0.0590766705927151,0.04916445037889679,0.1503724363949091,0.741386442633479
0.05951490778057646,0.045075183724373746,0.15664713828056334,0.7387627702144864
0.05965012857114331,0.04110908950064572,0.17139798050823093,0.7278428014199801
0.054810732939650574,0.03989933841152789,0.17660341076029717,0.7286865178885243
0.05153124956008519,0.03754022393296444,0.1782920645947576,0.7326364619121928
0.047728938908394136,0.033827548338346836,0.1762003767129868,0.7422431360402721
0.04377654761671297,0.03230180698790755,0.1762339298495716,0.7476877155458078
0.03629445809936607,0.03031762712768771,0.17837049928366022,0.755017415489286
0.030786668411718905,0.028996203400309076,0.18062174668762476,0.7595953815003472
0.024336552385503106,0.026666409013555426,0.17873236215519128,0.7702646764457503
0.018435931061447964,0.02531942631069785,0.17484634692005113,0.7813982957078031
0.013272658910972911,0.024087409026667072,0.17294973019868262,0.7896902018636773
0.014078594642739169,0.019727982474226344,0.16822460742858536,0.7979688154544492
0.013034239439328377,0.019663381931384564,0.15789425100691182,0.8094081276223752
0.013571710015095712,0.019840854117751293,0.15295675125066951,0.8136306846164836
0.015424312962522804,0.020127005456774368,0.15949089308281006,0.8049577884978928
0.014658774777722441,0.01981406582695233,0.16518608645638674,0.8003410729389384
0.014695697869583501,0.019852474551319946,0.15585410636557864,0.8095977212135179
0.014565046545120674,0.01904269166237696,0.15664006660296784,0.8097521951895346
0.014219584286934796,0.018785790436343614,0.1485084372251401,0.8184861880515814
0.014086648789674335,0.01780346667325877,0.141920012677735,0.8261898718593319
0.013695364543089235,0.018908428394689415,0.13511431242875482,0.8322818946334665
0.013250734777898645,0.020708102008392047,0.13275911828545592,0.8332820449282533
0.015218449419110214,0.020745295050760552,0.12905581180807515,0.8349804437220542
0.014890289384912056,0.021411003640922834,0.12025039983847144,0.8434483071356936
0.014700165729588903,0.021141637844184595,0.11024992966717079,0.8539082667590557
0.013907616477123524,0.027079431188631587,0.10062928746716224,0.8583836648670826
0.013842451991133667,0.02647448348753251,0.08285820060478705,0.8768248639165469
0.013734246588550476,0.02434519724107067,0.07396337686899908,0.8879571793013799
0.013905553662499303,0.024518723196895895,0.06841159519087743,0.8931641279497273
0.012664225986963684,0.024458954824039692,0.10737375815212175,0.8555030610368749
0.012703824130329788,0.024502546124138148,0.10424516718334502,0.8585484625621871
0.01369124491409904,0.023463560080070354,0.0992369088055885,0.8636082862002421
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
