Colors and Vehicles,Caterpillar Story,Playing and Trying,Communication and Actions
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.3030404688786061,0.18434451254997608,0.19184999729009772,0.3207650212813201
0.2889911929057996,0.183385289977531,0.20023518914174715,0.32738832797492223
0.2812994854531651,0.18394165009084573,0.2064598060980537,0.3282990583579355
0.2742796700113126,0.18512370460102026,0.21349109407668407,0.327105531310983
0.2705561150670739,0.18591791689885853,0.21942645927061183,0.3240995087634558
0.2613547749023807,0.18322800107674503,0.22480897658336935,0.33060824743750494
0.25311950318717374,0.18725630869565124,0.23331634290803951,0.3263078452091355
0.23885189630029213,0.20227734383056498,0.22729297459305872,0.3315777852760842
0.22632957196906467,0.19801217155123585,0.2610607835154173,0.3145974729642822
0.2172995711027027,0.1920877262629109,0.2555540400984638,0.3350586625359226
0.20750422147859487,0.20874261691173446,0.2433313546129266,0.3404218069967441
0.20408865189588815,0.20942447886925283,0.2371892111072702,0.3492976581275888
0.1942933129259852,0.2099116810893233,0.23290272750783264,0.36289227847685884
0.18592345753767303,0.2135999746848479,0.22889436151730483,0.37158220626017424
0.17798080279318243,0.21943600336865693,0.22152498782921295,0.38105820600894774
0.17155500380915872,0.22571650262963114,0.2173893389069997,0.3853391546542105
0.15989396781098147,0.23237267024802719,0.21800298092475306,0.3897303810162383
0.1451516438339381,0.24007671083030832,0.21872283747071827,0.39604880786503527
0.1326590605931882,0.24992210887406827,0.21249503729456662,0.40492379323817695
0.12425850826153441,0.2569118799184498,0.20406641701858214,0.4147631948014336
0.11370283619206183,0.26821293968915233,0.1981357836141318,0.419948440504654
0.10302345760076648,0.2895727629744028,0.18926071007242018,0.41814306935241047
0.09294899315984001,0.3013669093338566,0.18374528772023418,0.4219388097860692
0.08428852431150935,0.2966732776230071,0.18616820712233795,0.43286999094314554
0.07738028013446824,0.2902575096691803,0.18965525229589617,0.4427069579004554
0.07581138405338318,0.2950285116918962,0.18947404415452987,0.43968606010019073
0.07033398792177922,0.2973818437942549,0.19722651116824533,0.43505765711572053
0.061501509535053775,0.2977178800699104,0.20343541573615206,0.43734519465888383
0.05579258791160981,0.29356308080208804,0.20849279511219795,0.44215153617410413
0.049505845047030525,0.29197643599145034,0.21295036850418622,0.4455673504573329
0.044809724535636926,0.29264783831135494,0.2111574702159763,0.45138496693703184
0.0396661637288309,0.28938694257999587,0.21522190008323908,0.45572499360793417
0.042403238577120625,0.27772669029375435,0.23063411977390227,0.4492359513552227
0.043324678016568204,0.2839620291437215,0.20445362943405018,0.4682596634056601
0.038254771373136286,0.2892926645112278,0.2176767856171964,0.45477577849843953
0.038573695177323536,0.2809454792464714,0.22676647382533666,0.4537143517508684
0.031692001982923206,0.2815607515584792,0.2398649750657976,0.44688227139279996
0.03277715228869618,0.2742836324876298,0.2499854592777801,0.44295375594589387
0.031349929525746625,0.2667844206498263,0.2588242831388055,0.4430413666856215
0.03125308854581917,0.2622318770205384,0.2716569530323075,0.4348580814013349
0.02848992291418639,0.2491714134525359,0.2866279736338466,0.4357106899994311
0.02834967177076967,0.2379909293655426,0.2884818974607656,0.44517750140292217
0.029669243135251717,0.23444376303619588,0.2972088184754745,0.43867817535307796
0.029563118595089498,0.2237072007712424,0.30196624908395914,0.444763431549709
0.03431612166728344,0.21638505596680804,0.3158627874812477,0.4334360348846608
0.04680812512598578,0.2019915084566019,0.3127473630738368,0.4384530033435755
0.04659757505858149,0.17884820218223976,0.31254228250861293,0.46201194025056586
0.056041024067815616,0.15894284562430988,0.3094506088267635,0.4755655214811111
0.08209104830480234,0.15632066965642685,0.3050345334673926,0.4565537485713782
0.08228629973820425,0.19427720912680177,0.2869029085369032,0.43653358259809083
0.07673294205060213,0.1839681266508409,0.28148232921164795,0.4578166020869091
0.07528984627304991,0.17228942013570378,0.2621698847458236,0.49025084884542275
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
