id,x,y,gender
01G,-0.9985954657502365,0.329639384719123,female
06B,-0.15348465385014892,-0.998646824244977,male
09G,0.10958680833308337,-0.18548792261497477,female
10G,0.2374938608331127,0.4424476554021381,female
11B,0.983417191653681,0.6285082679452142,male
12G,0.9248203208150225,0.9248033841725078,female
18B,-0.998566639523195,-0.6302637390077824,male
19G,-0.16547153825366473,-0.8647268438295808,female
21B,0.2798659103513476,0.10829084289585811,male
22B,-0.33529856113373396,0.00838218006783692,male
25G,-0.14873910631085818,-0.4494568181517754,female
26B,-0.4871708205577462,-0.4574302362526257,male
28G,0.4297330198012258,0.2526693319451929,female
30B,-0.20731647398193498,-0.08142341257247188,male
35G,0.9153786194950995,0.8033126813677072,female
39B,-0.7505203114805574,0.05233936374820264,male
41G,-0.7029568840221376,-0.9992434246145394,female
44B,-0.2250053177338021,-0.268966261414816,male
45G,-0.901813758839989,-0.1702872273581592,female
46G,0.9976887272985706,-0.25506793913527814,female
47B,-0.10475188857613976,-0.10474796562357086,male
48B,-0.44369906235294126,-0.0005820521540925161,male
54B,-0.3494516292644685,-0.9990388692259341,male
55G,0.38014147370515744,-0.5362682219281789,female
58G,0.44873557555544863,-0.24161322422393544,female
59B,-0.29034230673574685,-0.41284646750865783,male
60G,-0.5839375548841531,-0.4066360437700277,female
61B,-0.7413285762873879,0.0018800672818088393,male
40B,-0.991100522710202,-0.4097055574687313,male w/o transcripts
43B,-0.8930175203327226,-0.893009445487768,male w/o transcripts
57B,-0.48221455249191564,-0.25254394474706693,male w/o transcripts
