id,x,y,gender
30B,-0.19541450274285732,-0.4749631439031641,male
61B,-0.40071588074415493,-0.5705095449878087,male
45G,-0.9984137847202081,0.47500861133594524,female w/o transcripts
01G,-0.9983457582295567,0.0565980925675606,female w/o transcripts
09G,-0.25783113004889635,-0.6287260839890082,female w/o transcripts
10G,0.14198897116174475,0.02884611686103844,female w/o transcripts
12G,0.958571622037363,0.8240263338329834,female w/o transcripts
18B,-0.865729433508666,-0.6286416870661257,male w/o transcripts
21B,0.17300832320320736,-0.05729301114172489,male w/o transcripts
22B,0.04125817523215597,0.140201698587134,male w/o transcripts
25G,-0.4554391595076707,-0.8202912451554784,female w/o transcripts
26B,-0.5991150092534492,-0.5990930246967732,male w/o transcripts
28G,0.13743736713613924,0.004284378273786638,female w/o transcripts
35G,0.16491286278110587,-0.017206288866573355,female w/o transcripts
40B,-0.991100522710202,-0.4097055574687313,male w/o transcripts
41G,-0.9042828932513858,-0.4818832143600555,female w/o transcripts
43B,-0.8930175203327226,-0.893009445487768,male w/o transcripts
44B,-0.2704231287977905,-0.6092864226964987,male w/o transcripts
46G,0.6358487349899711,-0.47824362612640847,female w/o transcripts
47B,-0.8300642156783191,-0.9059846377729686,male w/o transcripts
48B,-0.3521743826961303,-0.050896664126732716,male w/o transcripts
54B,-0.76684606492473,-0.9990122839610012,male w/o transcripts
55G,-0.1655582492917495,-0.04098709141487067,female w/o transcripts
57B,-0.48221455249191564,-0.25254394474706693,male w/o transcripts
58G,-0.7655954215271781,0.10536734693862232,female w/o transcripts
59B,-0.8041796311669285,-0.7489690436945419,male w/o transcripts
60G,-0.5732780891204736,-0.7291597594171011,female w/o transcripts
06B,-0.6004091203011228,-0.7097695154626011,male w/o transcripts
19G,-0.4369780774047308,-0.8816663347404199,female w/o transcripts
39B,-0.900280385149685,0.5203380199643488,male w/o transcripts
11B,0.28204309496419583,-0.19572628242022333,male w/o transcripts
